0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,"South Dakota @ Tulsa, Okla.",W 3 - 1,,,,,,,,,,,,,,,,,
08/26/2016,@ Tulsa,L 2 - 3,,,,,,,,,,,,,,,,,
08/27/2016,"UIW @ Tulsa, Okla.",W 3 - 1,,,,,,,,,,,,,,,,,
08/30/2016,Samford,W 3 - 0,,,,,,,,,,,,,,,,,
09/01/2016,Virginia Tech @ Puerto Rico,W 3 - 2,,,,,,,,,,,,,,,,,
09/02/2016,"Florida St. @ San Juan, PR",L 2 - 3,,,,,,,,,,,,,,,,,
09/03/2016,"Temple @ Bayamon, PR",W 3 - 1,,,,,,,,,,,,,,,,,
09/09/2016,Northwestern St.,W 3 - 1,,,,,,,,,,,,,,,,,
09/09/2016,Southern Miss.,W 3 - 2,,,,,,,,,,,,,,,,,
09/10/2016,Lehigh,W 3 - 0,,,,,,,,,,,,,,,,,
09/16/2016,ETSU,W 3 - 1,,,,,,,,,,,,,,,,,
09/17/2016,Presbyterian,W 3 - 2,,,,,,,,,,,,,,,,,
09/17/2016,Ga. Southern,W 3 - 0,,,,,,,,,,,,,,,,,
09/23/2016,Texas A&M,W 3 - 2,5,1,6,4,16,0.125,,,,2,,1,,1,7.0,,
09/25/2016,Florida,L 0 - 3,3,1,2,2,8,,,,,1,,,1,,2.5,,
09/30/2016,@ Georgia,W 3 - 1,,,,,,,,,,,,,,,,,
10/02/2016,@ Mississippi St.,L 2 - 3,3,1,2,2,8,,,,,,,,,,2.0,,
10/09/2016,@ Auburn,L 1 - 3,,,,,,,,,,,,,,,,,
10/12/2016,Mississippi St.,W 3 - 1,,,,,,,,,,,,,,,,,
10/16/2016,Missouri,L 2 - 3,,,,,,,,,,,,,,,,,
10/21/2016,@ Arkansas,W 3 - 0,3,1,0,1,8,-0.125,,,,,,,1,,0.5,,
10/23/2016,@ Ole Miss,L 1 - 3,4,1,2,8,25,-0.240,,,,4,,1,,,3.0,,
10/28/2016,Tennessee,L 0 - 3,,,,,,,,,,,,,,,,,
10/30/2016,Kentucky,L 0 - 3,,,,,,,,,,,,,,,,,
11/03/2016,@ Texas A&M,L 1 - 3,,,,,,,,,,,,,,,,,
11/06/2016,Arkansas,W 3 - 1,,,,,,,,,,,,,,,,,
11/09/2016,Auburn,W 3 - 2,,,,,,,,,,,,,,,,,
11/13/2016,@ Florida,L 0 - 3,,,,,,,,,,,,,,,,,
11/18/2016,@ South Carolina,W 3 - 0,,,,,,,,,,,,,,,,,
11/23/2016,Ole Miss,W 3 - 2,1,1,0,0,0,,,,,,,,,,,,
11/26/2016,@ LSU,W 3 - 1,,,,,,,,,,,,,,,,,
