0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,ETSU,W 3 - 0,3,,55,14,100,0.410,53,2,12,40,1,1,6,3,61.0,1,
08/26/2017,Arizona,W 3 - 1,4,,58,21,134,0.276,54,8,7,51,3,2,14,2,75.0,2,
08/26/2017,Wichita St.,L 0 - 3,3,,48,31,126,0.135,47,,6,35,3,3,4,,53.0,,
09/01/2017,"Oakland @ Columbus, Ohio",W 3 - 2,5,,68,36/,208,0.154,66,4,5,73,3,2,24,7,86.0,,
09/02/2017,"Missouri St. @ Columbus, Ohio",W 3 - 2,5,,63,32,175,0.177,59,5,8,60,4,3,24,6,83.0,,
09/02/2017,@ Ohio St.,L 0 - 3,3,,34,27,127,0.055,33,6,4,44,1,2,2,4,43.0,,
09/07/2017,@ Wisconsin,L 0 - 3,3,,36,28,122,0.066,35,3,5,43,2,1,10,4,45.0,1,
09/08/2017,"Texas A&M @ Madison, Wis.",L 1 - 3,4,,45,32,141,0.092,45,5,5,47,4,,8,3,54.0,1,
09/12/2017,Western Ky.,L 0 - 3,3,,38,26,113,0.106,36,7,9,34,1,1,4,2,48.0,,
09/15/2017,"Florida A&M @ Gainesville, Fla.",W 3 - 0,3,,52,25,135,0.200,48,5,5,49,3,1,2,1,59.0,,
09/15/2017,"Northern Ky. @ Gainesville, Fla.",W 3 - 0,3,,42,10,105,0.305,42,9,8,51,1,2,16,1,61.0,1,
09/16/2017,@ Florida,L 1 - 3,4,,52,24,157,0.178,48,6,16,59,3,2,4,1,62.0,,
09/22/2017,@ Kennesaw St.,L 2 - 3,5,,74,34,177,0.226,70/,6,20/,63,5,1,18,1,90.0/,1,
09/29/2017,Stetson,W 3 - 0,3,,39,12,92,0.293,32,12,10,38,4,2,6,3,56.0,3,
09/30/2017,FGCU,L 1 - 3,4,,54,22,126,0.254,53,6,16,41,3,1,14,4,68.0,,
10/06/2017,@ North Florida,W 3 - 0,3,,49,18,123,0.252,43,9,11,56,2,,8,1,62.0,,
10/07/2017,"Jacksonville @ Jacksonville, Fla.",L 1 - 3,4,,53,36/,133,0.128,52,6,10,37,3,1,16,,68.0,1,
10/10/2017,@ Belmont,W 3 - 1,4,,58,16,137,0.307,57,5,14,57,4,2,12,4,71.0,,
10/13/2017,NJIT,W 3 - 0,3,,44,17,97,0.278,42,1,8,44,5,1,18,1,55.0,,
10/14/2017,USC Upstate,W 3 - 0,3,,53,13,103,0.388,52,6,6,52,,1,8,4,64.0,,
10/20/2017,Kennesaw St.,L 2 - 3,5,,53,34,165,0.115,50,3,9,68,3,3,10,3,64.0,1,
10/27/2017,@ USC Upstate,W 3 - 0,3,,54,11,114,0.377,50,4,6,43,1,1,12,4,65.0,,
10/29/2017,@ NJIT,W 3 - 0,3,,43,16,98,0.276,43,1,12,41,2,1,16,3,53.0,,
11/03/2017,Jacksonville,L 1 - 3,4,,66,26,162,0.247,59,3,12,62,2,2,10,5,76.0,1,
11/04/2017,North Florida,W 3 - 0,3,,51,15,114,0.316,49,1,5,52,4,,16,5,60.0,1,
11/10/2017,@ FGCU,L 0 - 3,3,,42,27,124,0.121,40,,4,55,7,2,6,,47.0,,
11/11/2017,@ Stetson,W 3 - 1,4,,68,21,138,0.341,64,3,11,63,5,3,10,1,79.0,1,
11/16/2017,North Florida,W 3 - 0,3,,42,15,96,0.281,39,2,3,49,,,8,3,48.0,1,
11/17/2017,Kennesaw St.,L 1 - 3,4,,58,36/,165,0.133,58,3,6,76,2,3,10,1,69.0,2,
