Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
8302019,"Texas Southern @ Montgomery, AL",W 3 - 0,3.0,5.0,0.0,16.0,0.312,1.0,2.0,2.0,12.0,1.0,0.0,0.0,0.0,7.0
8302019,@ Alabama St.,L 1 - 3,4.0,7.5,3.0,25.0,0.215,0.5,1.5,1.5,11.5,1.0,0.0,1.0,0.0,9.5
8312019,"Alabama A&M @Montgomery, AL",1 - 3,0.0,5.0,2.0,16.666666666666668,0.14333333333333334,0.3333333333333333,1.0,1.0,7.666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,6.333333333333333
8312019,"Jackson St. @ Montgomery, AL",L 2 - 3,5.0,6.5,3.5,24.5,0.123,0.25,1.5,0.75,10.0,0.75,0.25,1.25,0.5,8.875
9032019,Mercer,L 0 - 3,3.0,6.6,2.8,22.4,0.1984,0.4,1.2,0.6,8.2,0.8,0.2,1.0,0.4,8.5
9062019,"Eastern Mich. @ Lafayette, La",L 1 - 3,4.0,7.5,3.0,25.333333333333332,0.19866666666666666,0.6666666666666666,1.1666666666666667,0.5,8.333333333333334,0.8333333333333334,0.16666666666666666,1.0,0.5,9.333333333333334
9062019,"McNeese @ Lafayette, La.",L 1 - 3,4.0,8.428571428571429,3.0,27.0,0.2127142857142857,0.7142857142857143,1.0,0.42857142857142855,9.142857142857142,0.8571428571428571,0.14285714285714285,1.2857142857142858,0.5714285714285714,10.214285714285714
9072019,@ Louisiana,L 1 - 3,4.0,8.375,4.375,30.75,0.173,0.75,0.875,0.625,9.0,0.75,0.125,1.375,0.75,10.0625
9132019,"St. John's (NY) @ Tallahassee, Fla.",L 0 - 3,3.0,8.11111111111111,4.333333333333333,30.22222222222222,0.16233333333333333,0.6666666666666666,0.8888888888888888,0.5555555555555556,9.11111111111111,0.6666666666666666,0.1111111111111111,1.2222222222222223,0.6666666666666666,9.722222222222221
9142019,Stony Brook,L 1 - 3,4.0,8.5,4.5,30.9,0.16229999999999997,0.8,0.9,0.6,9.2,0.7,0.1,1.2,0.6,10.1
9202019,"Southern U. @ Troy, AL",W 3 - 1,4.0,8.636363636363637,4.545454545454546,31.454545454545453,0.1598181818181818,0.8181818181818182,0.8181818181818182,0.8181818181818182,9.818181818181818,0.7272727272727273,0.09090909090909091,1.0909090909090908,0.5454545454545454,10.090909090909092
