Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS
9012019,East Carolina,L 0 - 3,3.0,11.0,3.0,29.0,0.276,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,12.5
9012019,Providence,L 0 - 3,3.0,11.5,3.5,27.0,0.29800000000000004,0.0,0.0,0.0,2.5,0.0,0.0,3.0,0.0,13.0
9062019,"Delaware @ Baltimore, MD",L 0 - 3,3.0,10.0,3.0,24.0,0.2913333333333334,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,2.3333333333333335,0.0,11.5
9062019,@ UMBC,W 3 - 2,5.0,11.0,4.0,27.75,0.26325000000000004,0.25,0.0,0.5,3.25,0.25,0.25,2.25,0.0,12.375
9072019,"Saint Francis (PA) @ Baltimore, MD",W 3 - 1,4.0,11.2,4.2,27.2,0.26660000000000006,0.4,0.0,0.6,5.0,0.4,0.4,2.2,0.0,12.7
9102019,Navy,L 1 - 3,4.0,11.0,4.333333333333333,28.833333333333332,0.2446666666666667,0.6666666666666666,0.16666666666666666,0.8333333333333334,5.166666666666667,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.0,12.666666666666666
9132019,"Princeton @ College Park, Md.",L 0 - 3,3.0,10.285714285714286,4.285714285714286,27.428571428571427,0.22471428571428573,0.5714285714285714,0.14285714285714285,0.7142857142857143,4.857142857142857,0.7142857142857143,0.2857142857142857,2.142857142857143,0.14285714285714285,11.785714285714286
9142019,@ Maryland,W 3 - 2,5.0,11.125,5.125,30.125,0.21187500000000004,0.75,0.625,0.625,5.125,0.625,0.25,2.125,0.125,13.0625
9142019,"Arkansas @ College Park, Md.",L 1 - 3,4.0,10.666666666666666,5.0,30.666666666666668,0.19788888888888892,0.7777777777777778,0.6666666666666666,0.7777777777777778,5.333333333333333,0.6666666666666666,0.2222222222222222,2.6666666666666665,0.1111111111111111,12.88888888888889
9202019,Wake Forest,L 0 - 3,3.0,10.4,5.1,30.2,0.18580000000000002,0.7,0.7,0.7,5.5,0.6,0.2,2.7,0.1,12.65
