0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Eastern Wash. @ Fullerton, Calif.",L 0 - 3,,3,1,0,0,0,,2,1,1,17,1,,,,1.0,,
08/24/2018,@ Cal St. Fullerton,L 0 - 3,,3,1,0,0,0,,,,,11,1,,,,,,
08/25/2018,@ UC Riverside,L 0 - 3,,3,1,0,0,0,,2,1,,13,1,,,,1.0,,
08/29/2018,@ Bryant,L 0 - 3,,3,1,0,0,0,,2,2,1,5,,,,,2.0,,
08/31/2018,@ Providence,L 1 - 3,,4,1,0,0,0,,,1,3,16,,,,,1.0,,
09/01/2018,"Brown @ Providence,R.I.",L 0 - 3,,3,1,0,0,2,,2,2,1,18,2,,,,2.0,,
09/01/2018,"Fairleigh Dickinson @ Providence, R.I.",W 3 - 2,,5,1,0,0,1,,9,1,1,21,1,,,,1.0,,
09/07/2018,"Eastern Ill. @ Des Moines, Iowa",L 0 - 3,,3,1,0,0,0,,,1,,13,1,,,,1.0,1,
09/07/2018,"South Dakota St. @ Des Moines, Iowa",L 1 - 3,,4,1,0,0,0,,5,1,2,9,3,,,,1.0,,
09/08/2018,@ Drake,L 0 - 3,,3,1,0,0,0,,,,,12,2,,,,,,
09/14/2018,@ Boston College,L 1 - 3,,4,1,0,0,1,,2,,3,7,1,,,,,,
09/15/2018,@ Harvard,L 1 - 3,,4,1,0,0,0,,3,,,8,6/,,,,,,
09/16/2018,@ Northeastern,L 1 - 3,,4,1,0,0,0,,1,,3,9,,,,,,,
09/21/2018,@ New Hampshire,L 0 - 3,,3,1,0,0,0,,6,,1,10,,,,,,,
09/28/2018,Stony Brook,L 0 - 3,,3,1,0,0,0,,2,,,11,2,,,,,,
09/30/2018,Hartford,L 0 - 3,,3,1,0,0,1,,3,,,6,,,,,,,
10/05/2018,@ Binghamton,L 0 - 3,,3,1,0,0,2,,,,1,12,1,,,,,,
10/07/2018,@ UMBC,W 3 - 2,,5,1,0,0,1,,6,,,30,,,,,,1,
10/12/2018,Albany (NY),L 1 - 3,,4,1,0,0,0,,1,,1,20,,,,,,,
10/14/2018,Siena,W 3 - 1,,4,1,0,0,0,,4,2,1,13,,,,,2.0,,
10/19/2018,New Hampshire,L 0 - 3,,3,1,0,0,0,,,,,16,1,,,,,,
10/26/2018,@ Hartford,L 1 - 3,,4,1,0,0,0,,2,,1,4,,,,,,,
10/28/2018,@ Stony Brook,L 0 - 3,,3,1,0,0,1,,1,,,6,2,,,,,,
11/02/2018,UMBC,W 3 - 2,,5,1,0,0,0,,4,1,1,24,2,,,,1.0,,
11/04/2018,Binghamton,L 2 - 3,,5,1,0,0,0,,3,,1,12,3,,,,,,
11/10/2018,@ Albany (NY),W 3 - 1,,4,1,0,0,0,,5,2,2,21,,,,,2.0,,
