Date,Opponent,Result,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,Unnamed: 19
08252017,"Rutgers @ Greenville, N.C.",W 3 - 1,4,48,18,127,0.23600000000000002,48,12,4,64,4,2,20,1,72.0,0.0
08262017,"William & Mary @ Greenville, N.C.",L 1 - 3,4,48,23,134,0.187,45,4,9,43,6,2,4,2,56.0,0.0
08262017,@ East Carolina,L 0 - 3,3,35,18,115,0.14800000000000002,32,8,7,45,6,0,8,2,47.0,0.0
08312017,@ UAB,L 1 - 3,4,48,19,162,0.179,43,7,13,67,4,6,4,1,63.0,0.0
09012017,"Charleston So. @ Birmingham, Ala.",W 3 - 2,5,68,32,214,0.168,63,7,12,78,8,3,8,5,82.0,0.0
09012017,"Austin Peay @ Birmingham, Ala.",L 2 - 3,5,65,25,203,0.19699999999999998,61,6,10,92,6,10,19,4,90.5,0.0
09042017,@ Kennesaw St.,L 0 - 3,3,29,16,102,0.127,27,0,5,32,2,1,6,2,33.0,0.0
09082017,"Jackson St. @ Chattanooga, Tenn.",W 3 - 1,4,56,13,141,0.305,52,9,9,61,3,0,12,4,71.0,0.0
09092017,"SIUE @ Chattanooga, Tenn.",L 0 - 3,3,33,10,116,0.198,32,3,8,53,9,0,2,1,37.0,0.0
09092017,@ Chattanooga,W 3 - 2,5,63,23,178,0.225,59,6,7,85,6,3,12,2,78.0,0.0
09162017,South Carolina St.,W 3 - 0,3,33,9,87,0.276,29,5,6,42,2,1,12,0,45.0,0.0
09162017,Wofford,L 0 - 3,3,24,19,98,0.051,22,6,4,39,8,1,16,3,39.0,0.0
09172017,Davidson,W 3 - 1,4,58,23,156,0.22399999999999998,52,10,7,66,4,1,10,4,74.0,0.0
09222017,ULM,W 3 - 2,5,64,27,173,0.214,61,6,10,76,10,3,20,4,83.0,0.0
09232017,Louisiana,L 0 - 3,3,40,21,113,0.168,39,4,7,48,4,2,4,2,48.0,0.0
09292017,@ South Alabama,L 1 - 3,4,50,25,161,0.155,46,6,6,76,6,1,8,0,61.0,0.0
09302017,@ Troy,L 2 - 3,5,51,26,149,0.168,44,7,9,60,8,0,14,0,65.0,0.0
10062017,@ App State,W 3 - 2,5,57,35,208,0.106,53,7,5,111,7,1,10,3,70.0,0.0
10082017,@ Coastal Carolina,L 2 - 3,5,46,28,164,0.11,44,6,5,77,9,4,4,1,58.0,0.0
10132017,Troy,L 2 - 3,5,55,24,163,0.19,52,3,11,63,6,1,10,3,64.0,0.0
10142017,South Alabama,L 0 - 3,3,32,23,108,0.083,31,6,10,32,3,0,9,4,42.5,0.0
10202017,@ UT Arlington,L 1 - 3,4,43,28,146,0.10300000000000001,39,2,9,51,5,0,22,1,56.0,0.0
10212017,@ Texas St.,L 0 - 3,3,16,18,89,-0.022000000000000002,16,1,3,25,8,4,2,4,22.0,0.0
10272017,@ Arkansas St.,L 0 - 3,3,26,20,95,0.063,25,3,4,39,9,2,6,0,34.0,0.0
10282017,@ Little Rock,L 2 - 3,5,48,34,174,0.08,41,2,11,73,2,1,4,2,53.0,0.0
11032017,Coastal Carolina,L 0 - 3,3,30,16,100,0.14,30,2,4,46,6,2,6,2,37.0,0.0
11042017,App State,L 1 - 3,4,38,25,129,0.10099999999999999,36,0,9,48,6,1,18,2,48.0,0.0
11082017,@ Ga. Southern,W 3 - 2,5,59,29,173,0.17300000000000001,58,9,10,71,7,1,29,2,83.5,0.0
11112017,Ga. Southern,W 3 - 2,5,65,29,166,0.217,60,6,7,64,8,3,12,3,80.0,0.0
