0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"Jackson St. @ Cartersville, Ga.",W 3 - 2,,5,1,5,2,15,0.200,,,3,3,,,2,,6.0,,
08/25/2018,"Alabama St. @ Emerson, Ga.",L 1 - 3,,2,1,3,0,8,0.375,,,,1,,,1,,3.5,,
08/25/2018,"Alabama A&M @ Emerson, Ga.",W 3 - 2,,,,,,,,,,,,,,,,,,
08/31/2018,"N.C. Central @ Elon, N.C.",W 3 - 1,,4,1,4,3,17,0.059,,,3,3,,,2,,5.0,,
09/01/2018,"Evansville @ Elon, N.C.",L 2 - 3,,4,1,7,5,16,0.125,,1,1,2,,1,2,,10.0,,
09/01/2018,@ Elon,L 1 - 3,,4,1,10,3,31,0.226,,,,1,,,1,,10.5,,
09/06/2018,"Charlotte @ Greenville, N.C.",L 0 - 3,,2,1,2,0,8,0.250,,1,2,,,,1,,3.5,,
09/07/2018,@ East Carolina,L 0 - 3,,3,1,3,3,10,,,,,,,,3,1,4.5,,
09/07/2018,"Eastern Wash. @ Greenville, N.C.",L 0 - 3,,3,1,5,1,9,0.444,,,4,1,,,5,,7.5,,
09/11/2018,@ N.C. A&T,W 3 - 1,,4,1,4,1,8,0.375,,,2,1,,,,,4.0,,
09/14/2018,@ Middle Tenn.,W 3 - 2,,5,1,4,5,16,-0.062,1,,2,1,,1,8,,9.0,1,
09/14/2018,@ Wofford,L 0 - 3,,3,1,5,1,13,0.308,,,1,1,1,,,,5.0,1,
09/18/2018,Winthrop,L 1 - 3,,4,1,4,3,13,0.077,,1,3,,,,6,2,8.0,,
09/21/2018,@ High Point,L 0 - 3,,3,1,2,2,8,,,,,,,,1,,2.5,,
09/28/2018,Charleston So.,L 1 - 3,,,,,,,,,,,,,,,,,,
09/29/2018,Presbyterian,L 2 - 3,,5,1,6,3,18,0.167,,,2,1,1,,2,,7.0,,
10/02/2018,South Carolina St.,W 3 - 0,,2,1,1,1,3,,,,,,,,,,1.0,,
10/05/2018,@ UNC Asheville,L 0 - 3,,2,1,3,1,7,0.286,,,,1,1,,1,,3.5,,
10/06/2018,@ USC Upstate,L 0 - 3,,2,1,2,0,4,0.500,,,,1,,2,,,4.0,,
10/12/2018,Hampton,W 3 - 1,,,,,,,,,,,,,,,,,,
10/13/2018,Campbell,L 0 - 3,,2,1,4,1,6,0.500,,,,,,,3,,5.5,,
10/19/2018,@ Radford,L 0 - 3,,2,1,4,1,6,0.500,,,,1,,,,,4.0,,
10/20/2018,@ Hampton,L 2 - 3,,,,,,,,,,,,,,,,,,
10/26/2018,USC Upstate,L 1 - 3,,,,,,,,,,,,,,,,,,
10/27/2018,UNC Asheville,L 0 - 3,,3,1,1,0,5,0.200,,,,2,,,2,,2.0,,
11/02/2018,@ Presbyterian,L 1 - 3,,4,1,4,3,14,0.071,1,,1,,,2,5,,8.5,,
11/03/2018,@ Charleston So.,L 1 - 3,,2,1,1,0,4,0.250,1,,,,,,3,,2.5,,
11/06/2018,@ Winthrop,L 1 - 3,,4,1,2,1,17,0.059,,,1,5,,,3,,3.5,,
11/10/2018,High Point,L 1 - 3,,4,1,3,3,16,,1,,,3,1,,3,1,4.5,,
