0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,@ Tennessee,L 1 - 3,4,1,2,1,5,0.200,,,,1,,1,3,,4.5,,
08/27/2016,"Middle Tenn. @ Knoxville, Tenn.",W 3 - 1,4,1,4,1,10,0.300,,,,1,,,8,,8.0,,
08/27/2016,"ULM @ Knoxville, Tenn.",W 3 - 0,3,1,5,2,12,0.250,,,,,,,4,,7.0,,
09/02/2016,@ Wichita St.,W 3 - 1,4,1,6,6,19,,,,,,,,3,,7.5,,
09/03/2016,"Marquette @ Wichita, Kan.",L 1 - 3,4,1,7,1,19,0.316,1,,,,,,3,,8.5,,
09/03/2016,"IUPUI @ Wichita, Kan.",W 3 - 0,3,1,1,2,4,-0.250,,,,,,,2,,2.0,,
09/09/2016,@ Western Ky.,L 0 - 3,2,1,2,2,9,,,,,,,,,,2.0,,
09/09/2016,"Michigan St. @ Bowling Green, Ky.",L 0 - 3,3,1,3,2,13,0.077,,,,,,,,,3.0,,
09/10/2016,"Southern Ill. @ Bowling Green, Ky.",L 2 - 3,5,1,4,3,13,0.077,,,,1,,,1,,4.5,,
09/14/2016,Miami (OH),L 0 - 3,3,1,4,2,18,0.111,,,,,,,3,,5.5,,
09/17/2016,Furman,W 3 - 0,,,,,,,,,,,,,,,,,
09/22/2016,@ Tulsa,W 3 - 2,3,1,0,0,2,,,,,1,,,2,,1.0,,
09/24/2016,@ SMU,L 2 - 3,,,,,,,,,,,,,,,,,
09/30/2016,South Fla.,W 3 - 0,3,1,6,2,12,0.333,,,,,,,3,,7.5,,
10/02/2016,UCF,W 3 - 1,3,1,2,2,7,,,,,1,,1,5,,5.5,,
10/05/2016,@ East Carolina,W 3 - 0,3,1,3,4,9,-0.111,,,,2,,,,,3.0,,
10/09/2016,Memphis,W 3 - 0,3,1,1,0,5,0.200,,,,,,,3,,2.5,,
10/13/2016,@ Houston,W 3 - 0,3,1,3,0,5,0.600,,,,,,,4,,5.0,,
10/15/2016,@ Tulane,W 3 - 2,3,1,3,1,8,0.250,,,,1,,,1,,3.5,,
10/21/2016,UConn,W 3 - 2,1,1,0,0,0,,,,,,,,,,,,
10/23/2016,Temple,L 0 - 3,1,1,0,1,1,-1.000,,,,,,,,,,,
10/27/2016,@ UCF,W 3 - 2,,,,,,,,,,,,,,,,,
10/29/2016,@ South Fla.,W 3 - 0,,,,,,,,,,,,,,,,,
11/04/2016,SMU,W 3 - 0,,,,,,,,,,,,,,,,,
11/06/2016,Tulsa,L 1 - 3,1,1,1,0,1,1.000,,,,,,1,,,2.0,,
11/11/2016,@ Temple,W 3 - 2,4,1,2,2,8,,1,,,2,,2,1,,4.5,,
11/13/2016,@ UConn,W 3 - 0,,,,,,,,,,,,,,,,,
11/17/2016,Tulane,W 3 - 0,,,,,,,,,,,,,,,,,
11/19/2016,Houston,W 3 - 0,,,,,,,,,,,,,,,,,
11/23/2016,East Carolina,W 3 - 0,,,,,,,,,,,,,,,,,
11/25/2016,@ Memphis,W 3 - 1,,,,,,,,,,,,,,,,,
12/02/2016,"Florida St. @ Gainesville, Fla.",L 1 - 3,1,1,0,0,0,,,,,,,,,,,,
