0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,@ California,L 0 - 3,,,,,,,,,,,,,,,,,,
08/24/2018,"Colgate @ Berkeley, Calif.",L 2 - 3,,5,1,9,1,17,0.471,,,,2,,,2,,10.0,,
08/25/2018,"Rutgers @ Berkeley, Calif.",W 3 - 0,,3,1,4,2,16,0.125,2,,,1,,1,3,2,6.5,,
08/28/2018,@ Western Mich.,L 0 - 3,,3,1,2,2,10,,1,,,,,,2,,3.0,,
08/31/2018,@ FIU,L 1 - 3,,4,1,7,0,10,0.700,,,,,,,3,,8.5,,
08/31/2018,"Savannah St. @ Miami, Fla.",W 3 - 1,,3,1,1,2,6,-0.167,,,,,,,2,,2.0,,
09/01/2018,"Delaware @ Miami, Fla.",W 3 - 0,,3,1,5,4,13,0.077,,,,,,,4,,7.0,,
09/04/2018,UIC,W 3 - 0,,3,1,7,2,13,0.385,,,,1,,,3,,8.5,,
09/07/2018,Ole Miss,L 0 - 3,,3,1,3,3,10,,,,,1,,,2,,4.0,,
09/08/2018,@ Georgia St.,W 3 - 0,,3,1,4,1,6,0.500,,,,1,,1,2,,6.0,,
09/08/2018,"Sam Houston St. @ Atlanta, GA",L 1 - 3,,4,1,2,1,8,0.125,,,,1,,,,1,2.0,,
09/11/2018,@ Northern Ill.,W 3 - 1,,1,1,2,0,3,0.667,,,,,,,,,2.0,,
09/14/2018,"Brown @ DeLand, Fla.",L 2 - 3,,5,1,7,3,16,0.250,1,,,2,,,2,2,8.0,,
09/14/2018,"Bethune-Cookman @ DeLand, Fla.",L 1 - 3,,4,1,2,2,11,,,,,1,,,4,,4.0,,
09/15/2018,@ Stetson,L 2 - 3,,5,1,6,2,13,0.308,,,,,,,3,,7.5,,
09/20/2018,@ Utah Valley,W 3 - 2,,5,1,4,4,17,,,,,,,1,2,2,6.0,,
09/22/2018,@ Seattle U,L 0 - 3,,3,1,2,2,9,,,,,,,1,1,,3.5,,
09/25/2018,Eastern Ill.,L 2 - 3,,3,1,3,3,12,,1,,,,,,,,3.0,,
09/27/2018,@ Kansas City,L 0 - 3,,3,1,0,0,8,,,,,1,,,,,,,
10/04/2018,UTRGV,L 0 - 3,,3,1,4,0,9,0.444,,,,2,,2,3,,7.5,,
10/06/2018,New Mexico St.,L 0 - 3,,3,1,5,3,10,0.200,,,,,,,1,,5.5,,
10/11/2018,Kansas City,W 3 - 2,,5,1,8,2,16,0.375,,,,1,,1,5,,11.5,,
10/13/2018,@ Grand Canyon,L 0 - 3,,,,,,,,,,,,,,,,,,
10/18/2018,California Baptist,L 1 - 3,,,,,,,,,,,,,,,,,,
10/20/2018,Grand Canyon,L 0 - 3,,2,1,1,0,1,1.000,1,,,1,,,,,1.0,,
10/25/2018,@ California Baptist,L 0 - 3,,3,1,1,2,10,-0.100,,,,1,,,1,,1.5,,
10/27/2018,@ CSU Bakersfield,L 1 - 3,,4,1,5,4,14,0.071,,,,,,,3,,6.5,,
10/29/2018,@ Drake,L 0 - 3,,3,1,4,1,9,0.333,,,,1,,,2,,5.0,,
11/03/2018,CSU Bakersfield,L 1 - 3,,4,1,7,0,14,0.500,,,1,3,,,,4/,7.0,,
11/08/2018,Seattle U,W 3 - 0,,3,1,5,1,9,0.444,,,,4,,,5,,7.5,,
11/10/2018,Utah Valley,L 0 - 3,,3,1,3,3,10,,,,1,,,,2,,4.0,,
11/15/2018,@ UTRGV,L 1 - 3,,4,1,10,2,21,0.381,,,1,3,,,2,,11.0,,
11/17/2018,@ New Mexico St.,L 0 - 3,,3,1,4,4,18,,,1,1,3,,1,2,1,7.0,,
