0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,NJIT,W 3 - 0,,3,1,0,0,0,,4,1,1,6,,,,,1.0,,
08/25/2018,Saint Peter's,W 3 - 1,,4,1,0,0,0,,2,,2,27,2,,,,,,
08/25/2018,Youngstown St.,L 1 - 3,,4,1,0,0,0,,1,1,1,22,3,,,,1.0,,
08/31/2018,"Delaware St. @ Brooklyn, NY",W 3 - 0,,,,,,,,,,,,,,,,,,
09/01/2018,"Cal St. Fullerton @ Brooklyn, NY",L 0 - 3,,3,1,0,0,0,,,1,,13,1,,,,1.0,,
09/01/2018,"NJIT @ Brooklyn, NY",W 3 - 1,,3,1,0,0,1,,4,,2,13,3,,,,,,
09/08/2018,"Niagara @ West Hartford, Conn.",W 3 - 0,,3,1,0,0,0,,1,3,,14,,,,,3.0,,
09/08/2018,@ Hartford,L 0 - 3,,,,,,,,,,,,,,,,,,
09/09/2018,"Brown @ West Hartford, Conn.",L 1 - 3,,4,1,1,0,1,1.000,2,1,4,13,3,,,,2.0,,
09/15/2018,"Toledo @ Akron, Ohio",L 2 - 3,,5,1,1,0,3,0.333,6,1,2,15,2,,,,2.0,,
09/15/2018,@ Akron,L 0 - 3,,3,1,0,0,1,,,1,2,5,,,,,1.0,,
09/21/2018,Navy,L 1 - 3,,4,1,0,0,0,,1,,4,13,,,,,,,
09/22/2018,American,L 0 - 3,,3,1,0,0,0,,,,1,8,,,,,,,
09/28/2018,@ Holy Cross,L 0 - 3,,3,1,0,0,0,,,3,,8,1,,,,3.0,,
09/29/2018,@ Colgate,L 0 - 3,,3,1,0,0,0,,,,1,8,,,,,,,
10/06/2018,Lafayette,W 3 - 1,,4,1,0,0,0,,4,,2,17,,,,,,,
10/07/2018,Lehigh,L 1 - 3,,3,1,0,0,0,,,1,3,6,,,,,1.0,,
10/13/2018,@ Loyola Maryland,L 1 - 3,,4,1,0,0,0,,4,,3,17,1,,,,,,
10/14/2018,@ Army West Point,L 2 - 3,,5,1,0,0,0,,,1,,11,,,,,1.0,,
10/20/2018,@ Navy,L 0 - 3,,3,1,0,0,0,,2,1,2,10,2,,,,1.0,,
10/21/2018,@ American,L 0 - 3,,3,1,0,0,0,,1,2,2,6,,,,,2.0,,
10/26/2018,Colgate,L 0 - 3,,3,1,0,0,0,,6,1,3,20,1,,,,1.0,,
10/27/2018,Holy Cross,L 1 - 3,,4,1,0,0,0,,5,1,1,16,3,,,,1.0,,
11/02/2018,@ Lehigh,L 0 - 3,,3,1,0,0,0,,1,,2,22,3,,,,,,
11/03/2018,@ Lafayette,W 3 - 2,,5,1,0,0,1,,2,4,1,11,1,,,,4.0,,
11/09/2018,Army West Point,L 1 - 3,,4,1,0,0,0,,5,,2,17,1,,,,,,
11/10/2018,Loyola Maryland,W 3 - 2,,5,1,0,0,0,,5,1,,13,1,,,,1.0,,
