0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Date,Opponent,Result,Attend,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/24/2018,"UMBC @ University Park, Pa.",W 3 - 0,,,,,,,,,,,,,,,,,,
08/25/2018,"Eastern Ky. @ University Park, Pa.",W 3 - 0,,,,,,,,,,,,,,,,,,
08/25/2018,@ Penn St.,L 0 - 3,,,,,,,,,,,,,,,,,,
08/31/2018,Alabama,L 1 - 3,,,,,,,,,,,,,,,,,,
09/01/2018,Dartmouth,W 3 - 1,,,,,,,,,,,,,,,,,,
09/01/2018,Villanova,L 0 - 3,,,,,,,,,,,,,,,,,,
09/04/2018,George Mason,W 3 - 0,,1,1,2,1,4,0.250,,,,,1,,,,2.0,,
09/07/2018,"Tulane @ New Brunswick, N.J.",W 3 - 2,,,,,,,,,,,,,,,,,,
09/07/2018,"Howard @ New Brunswick, N.J.",W 3 - 1,,,,,,,,,,,,,,,,,,
09/08/2018,@ Rutgers,L 1 - 3,,,,,,,,,,,,,,,,,,
09/14/2018,"UMES @ Denver, Colo.",W 3 - 1,,,,,,,,,,,,,,,,,,
09/14/2018,@ Denver,L 0 - 3,,,,,,,,,,,,,,,,,,
09/15/2018,@ Air Force,W 3 - 2,,,,,,,,,,,,,,,,,,
09/21/2018,@ Bucknell,W 3 - 1,,,,,,,,,,,,,,,,,,
09/22/2018,@ Lehigh,W 3 - 2,,,,,,,,,,,,,,,,,,
09/28/2018,Loyola Maryland,W 3 - 1,,,,,,,,,,,,,,,,,,
09/30/2018,@ American,L 2 - 3,,,,,,,,,,,,,,,,,,
10/05/2018,Colgate,W 3 - 0,,,,,,,,,,,,,,,,,,
10/06/2018,Army West Point,W 3 - 0,,,,,,,,,,,,,,,,,,
10/09/2018,Lafayette,W 3 - 0,,1,1,0,2,4,-0.500,,,,,,,,,,,
10/13/2018,Holy Cross,W 3 - 0,,,,,,,,,,,,,,,,,,
10/19/2018,Lehigh,W 3 - 0,,,,,,,,,,,,,,,,,,
10/20/2018,Bucknell,W 3 - 0,,,,,,,,,,,,,,,,,,
10/26/2018,American,L 0 - 3,,,,,,,,,,,,,,,,,,
10/28/2018,@ Loyola Maryland,W 3 - 0,,,,,,,,,,,,,,,,,,
11/02/2018,@ Army West Point,L 1 - 3,,,,,,,,,,,,,,,,,,
11/03/2018,@ Colgate,W 3 - 2,,1,1,0,0,0,,,,,,,,,,,,
11/08/2018,@ Lafayette,W 3 - 0,,,,,,,,,,,,,,,,,,
11/09/2018,@ Holy Cross,W 3 - 1,,1,1,0,0,0,,,,,,,,,,,,
11/17/2018,"Loyola Maryland @ Washington, D.C.",W 3 - 1,,,,,,,,,,,,,,,,,,
11/18/2018,@ American,W 3 - 2,,,,,,,,,,,,,,,,,,
11/30/2018,"Michigan @ Pittsburgh, Pa.",L 0 - 3,,,,,,,,,,,,,,,,,,
