0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/25/2017,"Coppin St. @ Bethlehem, Pa.",W 3 - 0,,,,,,,,,,,,,,,,,
08/26/2017,"Marist @ Bethlehem, Pa.",W 3 - 1,,,,,,,,,,,,,,,,,
08/26/2017,@ Lehigh,W 3 - 0,,,,,,,,,,,,,,,,,
09/01/2017,"Grand Canyon @ Tucson, Ariz.",W 3 - 2,,,,,,,,,,,,,,,,,
09/01/2017,"Eastern Ky. @ Tucson, Ariz.",W 3 - 0,,,,,,,,,,,,,,,,,
09/02/2017,@ Arizona,W 3 - 2,,,,,,,,,,,,,,,,,
09/08/2017,"Eastern Ky. @ Columbia, S.C.",W 3 - 0,,,,,,,,,,,,,,,,,
09/08/2017,"Miami (OH) @ Columbia, S.C.",L 0 - 3,,,,,,,,,,,,,,,,,
09/09/2017,@ South Carolina,W 3 - 2,,,,,,,,,,,,,,,,,
09/15/2017,@ Virginia Tech,W 3 - 0,,,,,,,,,,,,,,,,,
09/15/2017,"ETSU @ Blacksburg, Va.",W 3 - 2,,,,,,,,,,,,,,,,,
09/19/2017,@ Winthrop,W 3 - 1,,,,,,,,,,,,,,,,,
09/22/2017,@ Gardner-Webb,W 3 - 0,,,,,,,,,,,,,,,,,
09/29/2017,@ Campbell,W 3 - 1,,,,,,,,,,,,,,,,,
09/30/2017,@ High Point,L 0 - 3,,,,,,,,,,,,,,,,,
10/03/2017,Liberty,L 2 - 3,,,,,,,,,,,,,,,,,
10/07/2017,@ Presbyterian,W 3 - 1,,,,,,,,,,,,,,,,,
10/13/2017,UNC Asheville,W 3 - 1,,,,,,,,,,,,,,,,,
10/14/2017,Winthrop,W 3 - 0,,,,,,,,,,,,,,,,,
10/20/2017,@ Charleston So.,W 3 - 0,,,,,,,,,,,,,,,,,
10/21/2017,@ UNC Asheville,W 3 - 0,,,,,,,,,,,,,,,,,
10/27/2017,Presbyterian,W 3 - 0,,,,,,,,,,,,,,,,,
10/28/2017,Gardner-Webb,W 3 - 1,,,,,,,,,,,,,,,,,
10/31/2017,@ Liberty,W 3 - 0,,,,,,,,,,,,,,,,,
11/04/2017,Charleston So.,W 3 - 0,,,,,,,,,,,,,,,,,
11/07/2017,Campbell,W 3 - 1,,,,,,,,,,,,,,,,,
11/11/2017,High Point,L 1 - 3,,,,,,,,,,,,,,,,,
11/18/2017,Winthrop,W 3 - 0,,,,,,,,,,,,,,,,,
11/19/2017,High Point,W 3 - 1,,,,,,,,,,,,,,,,,
12/01/2017,@ Wichita St.,L 0 - 3,,,,,,,,,,,,,,,,,
