0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,"Niagara @ Los Angeles, Calif.",W 3 - 0,3,,44,12,93,0.344,43,4,8,48,3,4,8,2,56.0,,
08/27/2016,@ LMU (CA),W 3 - 1,4,,49,18,140,0.221,46,1,11,64,1,3,24,,65.0,2,
08/27/2016,"Illinois St. @ Los Angeles, Calif.",W 3 - 0,3,,44,8,100,0.360,37,5,8,52,2,3,16,,60.0,,
09/01/2016,"Pacific @ Honolulu, Hawai'i",W 3 - 1,4,,53,20,171,0.193,49,3,10,81,3,5,18,2,70.0,2,
09/02/2016,"Missouri St. @ Honolulu, Hawai'i",W 3 - 1,4,,63,18,149,0.302,61,1,8,75,3,2,12,1,72.0,,
09/03/2016,@ Hawaii,W 3 - 0,3,,43,17,132,0.197,41,2,1,57,3,1,16,2,54.0,,
09/09/2016,"UC Irvine @ San Diego, CA",W 3 - 0,3,,42,7,95,0.368,42,3,3,51,2,,14,,52.0,,
09/10/2016,@ San Diego,L 1 - 3,4,,58,19,171,0.228,57,3,3,82,5,2,10,,68.0,,
09/13/2016,@ Pepperdine,W 3 - 1,4,,63,29,172,0.198,56,2,12,90,3,2,16,1,75.0,1,
09/14/2016,@ Long Beach St.,W 3 - 1,4,,60,25,179,0.196,55,2,9,79,3,6,8,1,72.0,,
09/21/2016,@ Southern California,W 3 - 1,4,,63,20,167,0.257,57,4,13,66,4,3,14,2,77.0,1,
09/23/2016,Washington St.,L 2 - 3,5,,79/,39/,210,0.190,70,1,9,81,3,,12,,86.0,1,
09/30/2016,@ Utah,W 3 - 0,3,,48,14,112,0.304,46,5,2,47,2,1,14,2,61.0,3,
10/02/2016,@ Colorado,L 1 - 3,4,,51,19,161,0.199,49,6,10,66,5,1,6,2,61.0,3,
10/07/2016,Arizona St.,W 3 - 0,3,,38,14,95,0.253,37,3,6,46,4,6,12,1,53.0,,
10/09/2016,Arizona,L 2 - 3,5,,62,20,193,0.218,60,3,7,102/,5,4,10,2,74.0,2,
10/12/2016,@ Oregon,W 3 - 2,5,,70,25,200,0.225,64,3,5,99,4,2,24,4,87.0,2,
10/14/2016,@ Oregon St.,W 3 - 0,3,,47,13,128,0.266,46,1,1,64,3,,15,1,55.5,,
10/21/2016,Stanford,W 3 - 1,4,,59,20,150,0.260,55,7,3,66,5,2,2,,69.0,2,
10/23/2016,California,W 3 - 1,4,,63,14,128,0.383,60,4,6,56,5,7,10,2,79.0,,
10/28/2016,Colorado,W 3 - 2,5,,69,22,190,0.247,65,4,6,90,1,3,24,5,88.0,2,
10/29/2016,Utah,W 3 - 0,3,,57,14,144,0.299,56,,4,70,2,,8,,61.0,1,
11/04/2016,@ Arizona,L 0 - 3,3,,37,18,142,0.134,37,3,6,71,2,4,4,,46.0,,
11/05/2016,@ Arizona St.,W 3 - 0,3,,38,10,92,0.304,38,7,7,43,6,3,2,1,49.0,,
11/10/2016,@ California,W 3 - 0,3,,35,7,102,0.275,33,3,1,56,4,2,20,2,50.0,,
11/12/2016,@ Stanford,W 3 - 2,5,,69,23,163,0.282,68,5,8,55,2,3,14,1,84.0,,
11/16/2016,Oregon St.,W 3 - 0,3,,44,22,124,0.177,42,9,3,72,2,3,10,3,61.0,,
11/18/2016,Oregon,W 3 - 1,4,,50,19,114,0.272,49,7,5,46,4,3,19,1,69.5,,
11/23/2016,@ Washington,L 1 - 3,4,,44,25,152,0.125,44,2,4,50,3,1,8,2,51.0,,
11/26/2016,Southern California,W 3 - 2,5,,70,24,175,0.263,68,6,6,69,11,1,18,1,86.0,,
12/02/2016,Murray St.,W 3 - 1,4,,60,9,153,0.333,56,7,6,84,,1,16,,76.0,,
12/03/2016,Baylor,W 3 - 0,3,,45,15,115,0.261,43,5,1,50,1,2,8,1,56.0,1,
12/09/2016,"North Carolina @ Minneapolis, Minn.",W 3 - 1,4,,76,25,191,0.267,73,4,5,102/,5,2,8,2,86.0,1,
12/10/2016,@ Minnesota,L 0 - 3,3,,43,23,137,0.146,42,3,2,58,1,1,12,1,53.0,3,
