0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,Colorado @ Peter W Stott Center,L 2 - 3,5,,63,26,147,0.252,63,3,8,51,7,,18,6,75.0,,
08/27/2016,@ Long Beach St.,L 0 - 3,3,,30,13,86,0.198,29,5,3,26,5,1,12,5,42.0,,
08/27/2016,@ Portland St.,W 3 - 1,4,,59,12,134,0.351,52,5,6,55,7,2,24,2,78.0,,
09/02/2016,@ North Dakota St.,W 3 - 2,5,,68,22,177,0.260,64,1,9,82,4,4,12,2,79.0,1,
09/02/2016,"South Dakota St. @ Fargo, ND",W 3 - 0,3,,41,16,110,0.227,41,6,6,50,2,4,8,2,55.0,,
09/03/2016,@ North Dakota,W 3 - 0,3,,47,12,107,0.327,43,5,4,52,2,3,2,,56.0,,
09/05/2016,UTEP,W 3 - 0,3,,43,13,117,0.256,39,3,6,52,2,,14,1,53.0,,
09/09/2016,SFA,W 3 - 1,4,,54,25,163,0.178,50,6,9,85,5,3,18,,72.0,,
09/09/2016,Abilene Christian,W 3 - 0,3,,42,6,71,0.507,37,9,6,38,,1,9,,56.5,1,
09/10/2016,Oral Roberts,W 3 - 1,4,,46,13,110,0.300,44,6,7,50,8,2,14,1,61.0,,
09/10/2016,UTRGV,W 3 - 0,3,,46,13,121,0.273,42,5,4,52,1,2,10,,58.0,,
09/14/2016,@ Rice,W 3 - 2,5,,65,25,174,0.230,57,6,2,70,5,6/,12,5,83.0,3,
09/15/2016,"Texas St. @ San Antonio, Texas",L 0 - 3,3,,36,21,110,0.136,34,2,6,41,6,,10,2,43.0,1,
09/16/2016,@ UTSA,L 0 - 3,3,,22,19,83,0.036,21,3,4,30,8,,6,2,28.0,2,
09/16/2016,"Wichita St. @ San Antonio, Texas",L 0 - 3,3,,38,17,129,0.163,36,1,3,60,3,1,6,1,43.0,,
09/21/2016,@ TCU,L 1 - 3,4,,37,23,147,0.095,31,2,5,65,5,2,8,3,45.0,2,
09/24/2016,West Virginia,L 0 - 3,3,,33,15,88,0.205,32,3,3,43,7,,14,1,43.0,1,
09/28/2016,@ Baylor,L 0 - 3,3,,33,19,108,0.130,32,5,3,38,6,,12,,44.0,,
10/05/2016,Kansas St.,L 0 - 3,3,,37,19,107,0.168,37,1,4,39,5,2,4,1,42.0,,
10/08/2016,@ Kansas,L 0 - 3,3,,21,12,75,0.120,20,2,4,32,10,,2,1,24.0,5,
10/12/2016,Oklahoma,L 0 - 3,3,,44,19,123,0.203,42,1,8,50,1,,4,,47.0,1,
10/15/2016,@ Iowa St.,L 0 - 3,3,,27,19,99,0.081,27,1,7,39,3,2,,1,30.0,2,
10/21/2016,Texas,L 2 - 3,5,,59,28,182,0.170,54,4,6,74,4,1,8,2,68.0,2,
10/26/2016,Kansas,L 0 - 3,3,,29,22,109,0.064,29,,3,45,3,1,4,,32.0,,
10/29/2016,@ West Virginia,L 2 - 3,5,,58,33,161,0.155,56,4,13,63,5,1,20,,73.0,4,
11/02/2016,Baylor,L 1 - 3,4,,53,19,163,0.209,51,,8,72,3,2,22,2,66.0,2,
11/04/2016,Iowa St.,L 2 - 3,5,,57,32,180,0.139,52,6,9,59,4,3,12,1,72.0,2,
11/12/2016,@ Oklahoma,L 0 - 3,3,,39,18,105,0.200,36,,7,36,2,4,10,1,48.0,2,
11/16/2016,@ Texas,L 0 - 3,3,,32,18,104,0.135,32,3,6,47,3,,4,2,37.0,1,
11/19/2016,TCU,L 2 - 3,5,,68,29,194,0.201,61,3,9,92,12/,1,10,3,77.0,1,
11/26/2016,@ Kansas St.,L 0 - 3,3,,30,21,107,0.084,30,2,6,39,2,2,8,1,38.0,,
