0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Date,Opponent,Result,S,MP,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,
08/26/2016,"Seattle U @ Corvallis, Ore.",L 1 - 3,3,1,3,0,9,0.333,,,,,,,1,,3.5,,
08/26/2016,@ Oregon St.,W 3 - 2,1,1,0,0,1,,,1,,1,,,,,1.0,,
08/27/2016,"Utah St. @ Corvallis, Ore.",W 3 - 0,3,1,6,1,15,0.333,,,,2,,,4,,8.0,,
09/02/2016,"Portland St. @ Fresno, CA",L 1 - 3,4,1,5,3,14,0.143,,,1,1,,,4,,7.0,,
09/02/2016,"DePaul @ Fresno, Calif.",L 1 - 3,1,1,0,0,0,,,,,,,,,,,,
09/03/2016,@ Fresno St.,W 3 - 0,,,,,,,,,,,,,,,,,
09/09/2016,CSU Bakersfield,W 3 - 1,,,,,,,,,,,,,,,,,
09/10/2016,Texas St.,L 0 - 3,,,,,,,,,,,,,,,,,
09/10/2016,Utah,L 0 - 3,,,,,,,,,,,,,,,,,
09/16/2016,"Troy @ Starkville, Miss.",W 3 - 2,5,1,6,2,13,0.308,1,,,1,,,2,1,7.0,,
09/17/2016,"FIU @ Starkville, Miss.",W 3 - 0,3,1,5,2,13,0.231,,,,,,,2,,6.0,,
09/17/2016,@ Mississippi St.,W 3 - 2,5,1,7,1,20,0.300,1,,,1,,1,2,,9.0,,
09/22/2016,@ Pacific,L 1 - 3,2,1,1,1,3,,,,,,,,,,1.0,,
09/24/2016,@ Saint Mary's (CA),W 3 - 1,,,,,,,,,,,,,,,,,
09/29/2016,San Francisco,W 3 - 0,,,,,,,,,,,,,,,,,
10/01/2016,Santa Clara,L 2 - 3,,,,,,,,,,,,,,,,,
10/06/2016,@ LMU (CA),L 0 - 3,,,,,,,,,,,,,,,,,
10/08/2016,@ Pepperdine,W 3 - 2,,,,,,,,,,,,,,,,,
10/13/2016,BYU,W 3 - 2,,,,,,,,,,,,,,,,,
10/15/2016,San Diego,L 0 - 3,,,,,,,,,,,,,,,,,
10/22/2016,@ Gonzaga,L 0 - 3,1,1,2,0,2,1.000,,,,,,,,,2.0,,
10/27/2016,@ Santa Clara,W 3 - 1,,,,,,,,,,,,,,,,,
10/29/2016,@ San Francisco,W 3 - 2,1,1,0,1,2,-0.500,,,,,,,,,,,
11/03/2016,Pepperdine,W 3 - 1,,,,,,,,,,,,,,,,,
11/05/2016,LMU (CA),L 0 - 3,,,,,,,,,,,,,,,,,
11/10/2016,@ San Diego,W 3 - 2,,,,,,,,,,,,,,,,,
11/12/2016,@ BYU,L 0 - 3,,,,,,,,,,,,,,,,,
11/17/2016,Saint Mary's (CA),W 3 - 1,,,,,,,,,,,,,,,,,
11/19/2016,Pacific,W 3 - 0,,,,,,,,,,,,,,,,,
11/21/2016,Gonzaga,L 2 - 3,,,,,,,,,,,,,,,,,
